ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
975, CHLORAMPHENICOL PALMITATE , 530-43-8 ,0, DISCONTINUED ,  ,  974  , ORAL ,,,,,,,  ,, 
976, CAPREOMYCIN , 11003-38-6 ,1971,  ,  ,  , INJECTION ,,,,,,47.9, MICROMOLAR ,1.5, SOLUBILITY SOLUBLE IN WATER
977, COLISTIMETHATE , 8068-28-8 ,1970,  ,  ,  1312  , INJECTION ,49.4,13.7,2.5,,,,  ,, 
978, NAFCILLIN , 147-52-4 ,1965,  ,  ,  , ORAL INJECTION ,14.3,12.8,0.75,89,,72.4, MICROMOLAR ,0.083, 
979, METHICILLIN , 61-32-5 ,1971, DISCONTINUED ,  ,  , INJECTION ,20.8,25.7,0.64,57,,,  ,, 
980, OXACILLIN , 66-79-5 ,1971,  ,  ,  , ORAL INJECTION INTRAVENOUS ,12.3,24.5,0.5,94,,107, MICROMOLAR ,0.083, 
981, PENICILLIN G , 61-33-6 ,1947,  ,  ,  , ORAL INJECTION INTRAMUSCULAR INTRAVENOUS ,15,24.8,0.7,60,,134.7, MICROMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
982, PENICILLIN V , 87-08-1 ,1958,  ,  ,  , ORAL ,26.6,26.5,0.84,80,,,  ,, 
983, STREPTOZOCIN , 18883-66-4 ,1982,  ,  ,  , INJECTION ,,,0.58,,,,  ,, SOLUBILITY VERY SOLUBLE IN WATER
984, CLINDAMYCIN , 18323-44-9 ,1970,  ,  1445  1446  ,  , ORAL ,51.3,17.5,2.4,94,,5.89, MICROMOLAR ,, 
985, CEFPODOXIME PROXETIL , 87239-81-4 ,1992,  ,  ,  1633  , ORAL ,,,,,,,  ,, 
986, CLOXACILLIN , 61-72-3 ,1971, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
987, TETRACYCLINE , 60-54-8 ,1953,  ,  ,  , ORAL OPHTHALMIC INJECTION TOPICAL PERIODONTAL ,78,5.8,9.4,22,,1.68, MICROMOLAR ,3.3, 
988, PENTOBARBITAL , 76-74-4 ,1973,  ,  ,  , ORAL INJECTION RECTAL ,59,1.83,22,61,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
989, CEPHALOGLYCIN , 3577-01-3 ,1970, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
990, NYSTATIN , 1400-61-9 ,1964,  ,  ,  , TOPICAL ORAL VAGINAL ,,,9,20,,,  ,, 
991, CLIOQUINOL , 130-26-7 ,0, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
992, DEMECLOCYCLINE , 127-33-3 ,1960,  ,  ,  , ORAL ,84.5,4.3,13,65,,2.62, MICROMOLAR ,, 
993, OXYTETRACYCLINE , 79-57-2 ,1964, DISCONTINUED ,  ,  , ORAL INJECTION VAGINAL OPHTHALMIC OTIC ,110,7.8,10,10,,,  ,, 
994, CARBENICILLIN , 4697-36-3 ,0, DISCONTINUED ,  1447  1448  ,  , INJECTION ,11,7.4,1.1,48,,,  ,, 
995, TETRAHYDROZOLINE , 84-22-0 ,1979,  ,  ,  , NASAL ,,,,,,,  ,, 
996, AMPHOTERICIN B , 1397-89-3 ,1964,  ,  ,  , TOPICAL ORAL INJECTION ,6.5,0.715,8.5,90,,89.9, MICROMOLAR ,, 
997, MINOCYCLINE , 10118-90-8 ,1971,  ,  ,  , ORAL INJECTION DENTAL ,104,4.68,19,,,9.14, MICROMOLAR ,, 
998, LINCOMYCIN , 154-21-2 ,1964,  ,  ,  , ORAL INJECTION ,65,8.2,5.4,57,,39, MICROMOLAR ,, SOLUBILITY IS FREELY SOLUBLE IN WATER
999, TROLEANDOMYCIN , 2751-09-9 ,1969, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
1000, NOVOBIOCIN , 303-81-1 ,1964, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1001, SPECTINOMYCIN , 1695-77-8 ,1971, DISCONTINUED ,  ,  , INJECTION ,8.4,3.8,1.8,,,481, MICROMOLAR ,, 
1002, CHLORTETRACYCLINE , 57-62-5 ,1950, DISCONTINUED ,  ,  , OPHTHALMIC ,58.5,7.8,7,48,,,  ,, 
1003, CEPHALEXIN , 15686-71-2 ,1971,  ,  ,  , ORAL ,13.6,15.2,0.57,15,,92.2, MICROMOLAR ,, SOLUBILITY IN WATER IS LOW
1004, RIFAMPIN , 13292-46-1 ,1971,  ,  ,  , ORAL INJECTION ,63,13.6,3.6,80,,38.9, MICROMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1005, CEPHAPIRIN , 21593-23-7 ,1974, DISCONTINUED ,  ,  , INJECTION ,8.4,10.5,1.2,45,,,  ,, 
1006, MITOMYCIN , 50-07-7 ,1981,  ,  ,  , INJECTION TOPICAL ,,,0.76,,,7.1, MICROMOLAR ,, 
1007, AMOXICILLIN , 26787-78-0 ,1974,  ,  ,  , ORAL ,16,12.8,1,20,,20.5, MICROMOLAR ,, 
1008, CEFAZOLIN , 25953-19-9 ,1973,  ,  ,  , INJECTION INTRAVENOUS ,7.8,3.4,1.8,82,,407, MICROMOLAR ,0.25, 
1009, DOXORUBICIN , 23214-92-8 ,1974,  ,  ,  , INJECTION ,1430,58.5,32,72,,11.4, MICROMOLAR ,, 
1010, CEPHALOTHIN , 153-61-7 ,1974, DISCONTINUED ,  ,  , INJECTION ,4.5,7,0.95,78,,,  ,, 
1011, DAUNORUBICIN , 20830-81-3 ,1979,  ,  ,  1636  , INJECTION INTRAVENOUS ,1006,14,18.5,,,,  ,, 
1012, VIDARABINE , 5536-17-4 ,1976, DISCONTINUED ,  ,  , OPHTHALMIC INJECTION ,,,,,,,  ,, 
1013, AMIKACIN , 37517-28-5 ,1981,  ,  ,  , INJECTION INHALATION ,10,4.3,2.4,12,,65, MICROMOLAR ,, 
1014, TICARCILLIN , 34787-01-4 ,1976, DISCONTINUED ,  ,  , INJECTION ,10.4,7,1.1,45,,859, MICROMOLAR ,, SOLUBILITY VERY SOLUBLE IN WATER
1015, CEFAMANDOLE NAFATE , 42540-40-9 ,1978, DISCONTINUED ,  ,  1635  , INJECTION ,,,,,,,  ,, 
1016, CYCLACILLIN , 3485-14-1 ,1979, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1017, NATAMYCIN , 7681-93-8 ,1978,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
1018, CEFOXITIN , 35607-66-0 ,1978,  ,  ,  , INJECTION INTRAVENOUS ,11,14,0.81,27,,257, MICROMOLAR ,, 
1019, MECLOCYCLINE , 2013-58-3 ,0, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
1020, BACAMPICILLIN , 50972-17-3 ,1980, DISCONTINUED ,  ,  973  , ORAL ,,,,,,,  ,, 
1021, CEFACLOR , 53994-73-3 ,1979,  ,  ,  , ORAL ,,,0.75,37.5,85,62, MICROMOLAR ,0.75, 
1022, CEPHRADINE , 38821-53-3 ,1974, DISCONTINUED ,  ,  , ORAL INJECTION ,13.6,12.8,0.85,5,,,  ,, 
1023, NETILMICIN , 56391-56-1 ,1983, DISCONTINUED ,  ,  , INJECTION ,4.7,2.1,3.2,0,,,  ,, 
1024, PIPERACILLIN , 61477-96-1 ,1981,  ,  ,  , INJECTION ,17.5,15.6,0.96,16,,0.57, MILLIMOLAR ,0.5, SOLUBILITY FREELY SOLUBLE IN WATER
1025, CEFOTAXIME , 63527-52-6 ,1981,  ,  ,  , INJECTION ,12.3,10.5,1,40,,471, MICROMOLAR ,, 
1026, MOXALACTAM , 64952-97-2 ,0, DISCONTINUED ,  ,  , INJECTION ,11,2.8,2.9,61,,,  ,, 
1027, CEFOPERAZONE , 62893-19-0 ,1982, DISCONTINUED ,  ,  , INJECTION ,11,5,2,90,,503, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
1028, CEFORANIDE , 60925-61-3 ,1984, DISCONTINUED ,  ,  , INJECTION ,11,2.6,3,81,,,  ,, 
1029, CEFUROXIME , 55268-75-2 ,1983,  ,  1030  1031  ,  , INTRAMUSCULAR INTRAVENOUS INJECTION ,9.7,8.6,1.3,50,,32, MICROMOLAR ,2.5, 
1030, CEFUROXIME AXETIL , 64544-07-6 ,1987,  ,  ,  1029  , ORAL ,,,,,,,  ,, 
1031, CEFUROXIME AXETIL , 64544-07-6 ,1987,  ,  ,  1029  , ORAL ,,,,,,,  ,, 
1032, CEFTIZOXIME , 68401-81-0 ,1983, DISCONTINUED ,  ,  , INJECTION ,13,8.2,1.5,28,,577, MICROMOLAR ,, 
1033, AZLOCILLIN , 37091-66-0 ,0, DISCONTINUED ,  ,  , INJECTION ,17,9.7,1.2,35,,,  ,, 
1034, CLAVULANATE , 58001-44-8 ,1984,  ,  ,  , ORAL INJECTION ,14.3,12,1,25,,12, MICROMOLAR ,, 
1035, AMDINOCILLIN , 32887-01-7 ,0, DISCONTINUED ,  ,  , INJECTION ,24,24,1.1,,,,  ,, 
1036, CEFMENOXIME , 65085-01-0 ,1987, DISCONTINUED ,  ,  , INJECTION ,8.26,5,1.14,77,,152, MICROMOLAR ,, 
1037, STREPTOZOCIN , 18883-66-4 ,1982,  ,  ,  , INJECTION ,,,0.58,,,,  ,, 
1038, CEFTAZIDIME , 72558-82-8 ,1985,  ,  ,  , INJECTION IV ,20.1,6.9,1.9,10,,235, MICROMOLAR ,, 
1039, CEFONICID , 61270-58-4 ,1993, DISCONTINUED ,  ,  , INJECTION ,455,87,5.1,83,,597, MICROMOLAR ,, 
1040, AZTREONAM , 78110-38-0 ,1986,  ,  ,  , INJECTION INHALATION ,12.6,5.4,1.7,60,,1.5, MICROMOLAR ,, 
1041, CEFTRIAXONE , 73384-59-5 ,1984,  ,  ,  , INTRAMUSCULAR INTRAVENOUS INJECTION ,9.6,1,7.25,85,,,  ,, SOLUBILITY IS READILY SOLUBLE IN WATER
1042, CILASTATIN , 82009-34-5 ,1985,  ,  ,  , INTRAVENOUS INTRAMUSCULAR INJECTION ,9.75,8.97,0.86,40,95,92, MICROMOLAR ,, SOLUBILITY VERY SOLUBLE IN WATER
1043, IMIPENEM , 64221-86-9 ,1985,  ,  ,  , INTRAVENOUS INTRAMUSCULAR INJECTION ,14.8,11.7,1,20,75,277, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1044, MUPIROCIN , 12650-69-0 ,1987,  ,  ,  , TOPICAL NASAL ,,,0.5,,,,  ,, 
1045, CEFOTIAM , 61622-34-2 ,1988, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
1046, VANCOMYCIN , 1404-90-6 ,1964,  ,  ,  , ORAL INJECTION INTRAVENOUS ,35.1,5.07,6.5,30,,0.45, MICROMOLAR ,, 
1047, CEFIXIME , 79350-37-1 ,1989,  ,  ,  , ORAL ,15.6,3.9,4,65,45,4.41, MICROMOLAR ,, 
1048, CEFPIRAMIDE , 70797-11-4 ,1989, DISCONTINUED ,  ,  , INJECTION ,,,5,,87.5,553, MICROMOLAR ,, 
1049, CEFMETAZOLE , 56796-20-4 ,1989, DISCONTINUED ,  ,  , INJECTION ,8.45,5.85,1.5,85,,163, MICROMOLAR ,, 
1050, IDARUBICIN , 58957-92-9 ,1990,  ,  ,  , INJECTION ,2470,93,22,97,,,  ,, 
1051, CLARITHROMYCIN , 81103-11-9 ,1991,  ,  ,  , ORAL ,97.5,28.5,6,77,50,5, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1052, CEFPROZIL , 92665-29-7 ,1991,  ,  ,  , ORAL ,15,11.7,1.3,36,95,47, MICROMOLAR ,, 
1053, LORACARBEF , 76470-66-1 ,1991, DISCONTINUED ,  ,  , ORAL ,25,14.4,1.2,35,,41.4, MICROMOLAR ,, 
1054, AZITHROMYCIN , 83905-01-5 ,1991,  ,  ,  , ORAL INJECTION OPHTHALMIC ,2021,37.8,68,29,34,1.33, MICROMOLAR ,, 
1055, CEFPODOXIME PROXETIL , 87239-81-4 ,1992,  ,  ,  1633  , ORAL ,,,,,,,  ,, 
1056, DIRITHROMYCIN , 62013-04-1 ,1995, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1057, CEFEPIME , 88040-23-7 ,1996,  ,  ,  , INJECTION INTRAVENOUS ,18,7.2,2,20,82,340.7, MICROMOLAR ,, SOLUBILITY HIGHLY SOLUBLE IN WATER
1058, DACTINOMYCIN , 50-76-0 ,1964,  ,  ,  , INJECTION ,,,36,,,,  ,, 
1059, TAZOBACTAM , 89786-04-9 ,1993,  ,  ,  , INJECTION INTRAVENOUS ,18.2,12.3,1.2,30,,113.3, MICROMOLAR ,1, 
1060, CEFTIBUTEN , 97519-39-6 ,1995, DISCONTINUED ,  ,  , ORAL ,32.5,5,2,65,,36.5, MICROMOLAR ,, 
1061, RIFABUTIN , 72559-06-9 ,1992,  ,  ,  , ORAL ,604.5,44.8,45,85,20,443.2, NANOMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER (0.19 MILLIGRAM / MILLILITER)
1062, PYRAZINAMIDE , 98-96-4 ,1971,  ,  ,  1613  , ORAL ,55.1,3.82,10,10,96.8,227.8, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1063, MEROPENEM , 96036-03-2 ,1996,  ,  ,  , INJECTION INTRAVENOUS ,19.5,15.2,1,2,,127.9, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1064, TACROLIMUS , 104987-11-3 ,1994,  ,  ,  , ORAL INJECTION TOPICAL ,126.1,2.6,34.8,99,18,36.9, NANOMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1065, FOSFOMYCIN , 23155-02-4 ,1996,  ,  ,  , ORAL ,136.1,16.9,5.7,0,37,189, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER
1066, MYCOPHENOLATE MOFETIL , 128794-94-5 ,1995,  ,  ,  1072  , ORAL INJECTION ,,,,,94,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER (43 MICROGRAM / MILLILITER AT PH 7.4)
1067, CEFDINIR , 91832-40-5 ,1997,  ,  ,  , ORAL ,22.75,60,1.7,65,,7.26, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1068, IVERMECTIN , 70288-86-7 ,1996,  ,  ,  , ORAL TOPICAL ,,,18,99,,53, NANOMOLAR ,4, SOLUBILITY INSOLUBLE IN WATER
1069, QUINUPRISTIN , 120138-50-3 ,1999,  ,  ,  , INJECTION INTRAVENOUS ,29,46.8,0.85,66,,3.1, MICROMOLAR ,, 
1070, DALFOPRISTIN , 112362-50-2 ,1999,  ,  ,  , INJECTION INTRAVENOUS ,15.6,46.8,0.7,18,,11.5, MICROMOLAR ,, 
1071, EPIRUBICIN , 56420-45-2 ,1999,  ,  ,  , INJECTION INTRAVENOUS ,1365,69,31,77,,17, MICROMOLAR ,, 
1072, MYCOPHENOLIC ACID , 24280-93-1 ,2004,  ,  1066  ,  , ORAL ,112,8.4,12,98,93,81.5, MICROMOLAR ,, SOLUBILITY HIGHLY SOLUBLE IN WATER
1073, AZACITIDINE , 320-67-2 ,2004,  ,  ,  , INTRAVENOUS SUBCUTANEOUS ,76,167,0.68,,89,3, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1074, STREPTOMYCIN , 57-92-1 ,1946,  ,  ,  , INJECTION ,22,3,4,35,84,75, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER
1075, GRAMICIDIN , 1405-97-6 ,1968,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
1076, PAROMOMYCIN , 7542-37-2 ,1969,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
1077, CYCLOSERINE , 68-41-7 ,1964,  ,  ,  , ORAL ,,,12,,,,  ,6, SOLUBILITY SOLUBLE IN WATER
1078, METHACYCLINE , 914-00-1 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1079, CANDICIDIN , 1403-17-4 ,0, DISCONTINUED ,  ,  , VAGINAL ,,,,,,,  ,, 
1080, PRAMOXINE , 140-65-8 ,1973,  ,  ,  , TOPICAL ,,,,,,,  ,, 
1081, PENTOBARBITAL , 76-74-4 ,1973,  ,  ,  , ORAL INJECTION RECTAL ,59,1.83,22,61,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1082, GENTIAN VIOLET , 548-62-9 ,1977, DISCONTINUED ,  ,  , VAGINAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER BECAUSE IT IS A SALT
1083, DIGITOXIN , 71-63-6 ,1978, DISCONTINUED ,  ,  , INJECTION ,28,0.16,48,25,70,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1084, BENZYL BENZOATE , 120-51-4 ,1976, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
1085, TETRAHYDROZOLINE , 84-22-0 ,1979,  ,  ,  , NASAL ,,,,,,,  ,, 
1086, DRONEDARONE , 141626-36-0 ,2009,  ,  ,  , ORAL ,1400,140,16,98,15,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1087, ARTEMETHER , 71963-77-4 ,2009,  ,  ,  1092  , ORAL ,,,2,95.4,,201, NANOMOLAR ,2, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1088, CHLOROQUINE , 54-05-7 ,1949,  ,  ,  , ORAL INJECTION ,9100,16,570,55,,0.513, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
1089, MEPHENYTOIN , 50-12-4 ,1946, DISCONTINUED ,  ,  , ORAL ,110.5,1.74,63,,,,  ,, 
1090, METHADONE , 76-99-3 ,1947,  ,  ,  , ORAL INJECTION ,286,6.6,31,79,68,2.03, MICROMOLAR ,, SOLUBILITY VERY SOLUBLE IN WATER
1091, DOXYLAMINE , 469-21-6 ,1948,  ,  ,  , ORAL ,,11.7,,,,308, NANOMOLAR ,, SOLUBILITY VERY SOLUBLE IN WATER
1092, DIHYDROARTEMISININ , 71939-50-9 ,0,  ,  1087  ,  ,  ,,,2,61,,366, NANOMOLAR ,2, 
1093, BETHANECHOL , 590-63-6 ,1948,  ,  ,  , INJECTION ORAL ,,,,,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1094, TRIHEXYPHENIDYL , 144-11-6 ,1949,  ,  ,  , ORAL ,,,3.7,,,,  ,, 
1095, PARAMETHADIONE , 115-67-3 ,1949, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1096, SECOBARBITAL , 76-73-3 ,1950,  ,  ,  , INJECTION ORAL RECTAL ,97.5,,28,50,90,,  ,3, SOLUBILITY VERY SOLUBLE IN WATER
1097, DYPHYLLINE , 479-18-5 ,1951, DISCONTINUED ,  ,  , ORAL INJECTION ,27.3,18.7,2,,,67, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
1098, PROMETHAZINE , 60-87-7 ,1951,  ,  ,  , ORAL INJECTION RECTAL ,910,54,14,91,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1099, BROMODIPHENHYDRAMINE , 1808-12-4 ,1954, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1100, CYCRIMINE , 77-39-4 ,1953, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1101, ETHOPROPAZINE , 522-00-9 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1102, WARFARIN , 81-81-2 ,1954,  ,  ,  , ORAL INJECTION ,8.4,0.21,29,98,,,  ,, SOLUBILITY SOLUBLE IN WATER
1103, GLUTETHIMIDE , 77-21-4 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1104, PROCYCLIDINE , 77-37-2 ,1955, DISCONTINUED ,  ,  , ORAL ,48,3.3,12,,,,  ,, SOLUBILITY SOLUBLE IN WATER
1105, ETHCHLORVYNOL , 113-18-8 ,1961, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1106, AMPHETAMINE , 300-62-9 ,1955,  ,  22  294  ,  177  1319  249  , ORAL ,396,37,7.3,20,,185, NANOMOLAR ,, 
1107, MECAMYLAMINE , 60-40-2 ,1956,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
1108, CLIDINIUM , 3485-62-9 ,1966,  ,  ,  , ORAL ,,,,,,,  ,, 
1109, HYDROXYZINE , 68-88-2 ,1956,  ,  ,  , ORAL INJECTION ,1040,39,16.5,,,186.9, NANOMOLAR ,2, SOLUBILITY SOLUBLE IN WATER
1110, BROMPHENIRAMINE , 86-22-6 ,1957,  ,  ,  , ORAL INJECTION ,,,25,72,,,  ,5, 
1111, ETHOTOIN , 86-35-1 ,1957,  ,  ,  , ORAL ,,,6,,,39, MICROMOLAR ,, 
1112, BUCLIZINE , 82-95-1 ,1957, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1113, METHOCARBAMOL , 532-03-6 ,1957,  ,  ,  848  877  , ORAL IM INJECTION ,150,52,2,50,,96, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1114, PHENPROCOUMON , 435-97-2 ,1957, DISCONTINUED ,  ,  , ORAL ,,,140,,,,  ,, 
1115, TRIMEPRAZINE , 84-96-8 ,0, DISCONTINUED ,  ,  , ORAL ,,,,90,80,,  ,, 
1116, LUMEFANTRINE , 82186-77-4 ,2009,  ,  ,  , ORAL ,,,101,99.7,,14, MICROMOLAR ,6, SOLUBILITY INSOLUBLE IN WATER
1117, METHOHEXITAL , 151-83-7 ,1960,  ,  ,  , INJECTION ,71.5,46,1.6,73,,30, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
1118, OXYPHENCYCLIMINE , 125-53-1 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1119, DIETHYLPROPION , 90-84-6 ,1959,  ,  ,  , ORAL ,,,,,,,  ,, 
1120, THIORIDAZINE , 50-52-2 ,1962,  ,  ,  , ORAL ,,,15,,,0.55, MICROMOLAR ,, 
1121, BIPERIDEN , 514-65-8 ,1959, DISCONTINUED ,  ,  , ORAL INJECTION ,780,46.8,24,90,,16, NANOMOLAR ,1.25, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1122, TROPICAMIDE , 1508-75-4 ,1960,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
1123, MEPIVACAINE , 96-88-8 ,1960,  ,  ,  , INJECTION ,61,26,2,70,,,  ,, SOLUBILITY SOLUBLE IN WATER
1124, CHLOPHEDIANOL , 791-35-5 ,0, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1125, BENDROFLUMETHIAZIDE , 73-48-3 ,1959,  ,  ,  , ORAL ,,,,90,,,  ,, SOLUBILITY INSOLUBLE IN WATER
1126, TRICHLORMETHIAZIDE , 133-67-5 ,1960, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1127, CHLORTHALIDONE , 77-36-1 ,1960,  ,  ,  , ORAL ,253,5.8,36,76,64,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (0.12 MILLIGRAM / MILLILITER)
1128, ETHOSUXIMIDE , 77-67-8 ,1960,  ,  ,  , ORAL ,45.5,,60,0,,496, MICROMOLAR ,5, 
1129, PROPIOMAZINE , 362-29-8 ,1960, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
1130, ACRISORCIN , 7527-91-5 ,0, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, 
1131, METHYCLOTHIAZIDE , 135-07-9 ,1960,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1132, OXYPHENBUTAZONE , 129-20-4 ,1960, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1133, POLYTHIAZIDE , 346-18-9 ,1961, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
1134, METAXALONE , 1665-48-1 ,1962,  ,  ,  , ORAL ,800,66,9,,,8.2, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1135, QUINETHAZONE , 73-49-4 ,1963, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1136, PRILOCAINE , 721-50-6 ,1965,  ,  ,  , INJECTION TOPICAL PERIODONTAL ,156,142,1.6,40,,0.48, MICROMOLAR ,, 
1137, DOXAPRAM , 309-29-5 ,1965,  ,  ,  , INJECTION ,78,20,4.1,,,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1138, OXAZEPAM , 604-75-1 ,1965,  ,  491  1709  ,  , ORAL ,38,4.3,8.2,96,,1.57, MICROMOLAR ,, 
1139, PROPRANOLOL , 525-66-6 ,1967,  ,  ,  , ORAL INJECTION ,260,46.8,4.5,90,,,  ,2.5, SOLUBILITY READILY SOLUBLE IN WATER
1140, TRIMIPRAMINE , 739-71-9 ,1979,  ,  ,  , ORAL ,1040,62.4,23,95,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1141, KETAMINE , 6740-88-1 ,1970,  ,  ,  , INJECTION ,188,74,2.8,53,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1142, BENZQUINAMIDE , 63-12-7 ,1974, DISCONTINUED ,  ,  , RECTAL INJECTION ,,,1.3,,39,,  ,, 
1143, PEMOLINE , 2152-34-3 ,1975, DISCONTINUED ,  ,  , ORAL ,,,12,50,,,  ,3, SOLUBILITY RELATIVELY INSOLUBLE IN WATER
1144, MITOTANE , 53-19-0 ,1970,  ,  ,  , ORAL ,,,2124,,40,44.7, MICROMOLAR ,, 
1145, BUPIVACAINE , 2180-92-9 ,1972,  ,  ,  , INJECTION SPINAL ,54.6,16.7,3.1,94,,,  ,, SOLUBILITY SOLUBLE IN WATER
1146, ENFLURANE , 13838-16-9 ,1972, DISCONTINUED ,  ,  , INHALATION ,,,,,,15, MICROMOLAR ,, 
1147, MOLINDONE , 7416-34-4 ,1974,  ,  ,  , ORAL ,,,2,,,,  ,1.5, SOLUBILITY FREELY SOLUBLE IN WATER
1148, MAZINDOL , 22232-71-9 ,1973, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1149, METOLAZONE , 17560-51-9 ,1973,  ,  ,  , ORAL ,104,5.4,14,95,,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1150, DISOPYRAMIDE , 3737-09-5 ,1977,  ,  ,  , ORAL ,33.8,3.5,6.7,65,,14.1, MICROMOLAR ,2, SOLUBILITY FREELY SOLUBLE IN WATER
1151, MICONAZOLE , 22916-47-8 ,1974,  ,  ,  , VAGINAL TOPICAL INJECTION BUCCAL ,,,24,88,,36, MICROMOLAR ,, 
1152, IBUPROFEN , 15687-27-1 ,1974,  ,  ,  , ORAL INTRAVENOUS ,7.8,2.9,2,99,,92, MICROMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1153, LUMEFANTRINE , 82186-77-4 ,2009,  ,  ,  , ORAL ,,,101,99.7,,14, MICROMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
1154, LORAZEPAM , 846-49-1 ,1977,  ,  ,  , ORAL INJECTION ,84.5,4.3,14,91,90,62, NANOMOLAR ,, SOLUBILITY ALMOST INSOLUBLE IN WATER
