sort code,Generic Name,Brand Name,MOA/Target,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (ng/ml),Cmax (mg/l),Cmax (raw units),Tmax   hr,T1/2        hr,AUC  (raw units),AUC   (ng•hr/ml),Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,pubmed link,Reference URL,Drug Product Label URL,Cancer Indication,Notes,unit list,route list
85,Imiquimod  ,Aldara ,Immunomodulator: TLR7 Receptor Agonist,240,75,mg,topical,-,3X/wk for 16 wk,0.0056,5.62E-09,0.00000135,1.4,0.0014,1.35 ng/ml,-,-,29.1 ng•hr/L,0.0291,-,-,90-95%,,1997,"Arch Dermatol Res 2004, 296(1): 6",http://www.ncbi.nlm.nih.gov/pubmed/15083310,http://link.springer.com/article/10.1007%2Fs00403-004-0465-4,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Imiquimod,Actinic Keratosis;   Superficial Basal Cell Carcinoma,"Cmax is mean at end of 16 week treatment. As topical agent, local tissue concentrations may be much greater than systemic exposure.",,
87,Irinotecan   ,Camptosar ,Topo I/DNA binding,587,340,mg/m2,IV,90 min,-,5.78,5.78E-06,0.003392,3392,3.4,3392 ng/ml,-,11.7,20604 ng•hr/ml,20604,13.9 L/hr/m2,234 L/m2,30-68%,,1996,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/020571s048lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Irinotecan,Colon: metastatic carcinoma of the colon or rectum.,prodrug of SN-38,,
89,Irinotecan (liposomal),Onivyde ,Topo I/DNA binding,587,70,mg/m2,IV,90 min,-,63.4,6.34E-05,0.0372,37200,37,37.2 ug/ml,-,25.8,1364 ug•hr/ml,1364000,0.2 L/hr,4.1 L,<0.44%,,2015,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207793lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Onivyde,Pancreas:  metastatic adenocarcinoma of the pancreas after disease progression following gemcitabine-based therapy.,liposome formulation approved 10.22.15,,
91,Ixabepilone  ,Ixempra ,Tubulin: inhibition,507,40,mg/m2,IV,3 h,-,0.497,4.97E-07,0.000252,252,0.25,252 ng/ml,-,35,2143 ng•hr/ml,2143,352 ml/min/m2,1213 L/m2,67-77%,,2007,"Drug Product Label; see also Clin Cancer Res 2004, 10(4): 1289",http://www.ncbi.nlm.nih.gov/pubmed/14977827,http://clincancerres.aacrjournals.org/content/10/4/1289.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ixabepilone,"Breast: metastatic or locally advanced breast cancer in patients whose tumors are resistant or refractory to anthracyclines, taxanes, and capecitabine","data are for day 1, cycle 1; from label, 3 hr infusion yielded Cmax= 252 ng/ml",,
92,Ixazomib,Ninlaro,Proteosome inhibitor,517,4,mg,PO,-,-,0.118,1.18E-07,0.000061,61,0.061,61 ng/ml,1,228,1160  ng•hr/ml,1160,1.9 L/h,543 L,99%,,2015,FDA NDA 208462 Clinical Pharmacology and Biopharmaceutics Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208462Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ixazomib,Multiple Myeloma,,,
93,Lanreotide,Somatuline Depot,Somatostatin Agonist ,1096,120,mg,SC,-,q. 4 weeks,0.007,7.02E-09,0.0000077,7.7,0.0077,7.7 ng/ml,-,-,-,-,-,-,-,,2007,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/022074s010lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Lanreotide,"Gastroenteropancreatic neuroendocrine tumors (GEP-NETs): unresectable, well or moderately differentiated, locally advanced or metastatic  ",oncology approval 12/16/2014.  Cmax at steady state.,,
94,Lapatinib,Tykerb ,"Kinase inhibitor (Tyrosine): ERBB2,  EGFR",581,1250,mg,PO,-,q.d. X 21 d,4.18,4.18E-06,0.00243,2430,2.4,2.43 ug/ml,4,14.2,36.2 ug•hr/ml,36200,-,-,>99%,,2007,"Drug Product Label; see also J Clin Oncol 2005, 23(23): 5305",http://www.ncbi.nlm.nih.gov/pubmed/15955900,http://jco.ascopubs.org/content/23/23/5305.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Lapatinib,"Breast:  in combination with capecitabine for advanced or metastatic breast cancer whose tumors overexpress HER2 and who have received prior therapy including an anthracycline, a taxane, and trastuzumab",,,
95,Lenalidomide  ,Revlimid ,Immunomodulator: TNF-alpha Production Inhibitor,259,25,mg,PO,-,qd,1.74,1.74E-06,0.000451,451,0.45,451 ng/ml,1.5,5.3,3820 ng•hr/ml,3820,192 ml/min,57.9 L,30%,,2005,"J Clin Pharmacol 2009, 49(6): 650",http://www.ncbi.nlm.nih.gov/pubmed/19451403,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2808857/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Lenalidomide,"Multiple Myeloma,  Myelodysplastic Syndromes,   Mantle Cell Lymphoma",,,
96,Lenvatinib ,Lenvima,"Kinase inhibitor (Tyrosine):  VEGFR1 (FLT1), VEGFR2 (KDR), and VEGFR3 (FLT4)",427,24,mg,PO,-,q.d.,0.761,7.61E-07,0.000325,325,0.33,325 ng/ml,2,28,3010 ng•hr/ml,3010,9.17 L/h,428 L,98-99%,,2015,Drug Product Label and FDA NDA 206947 Clinical Pharmacology and Biopharmaceutics Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/206947Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Lenvatinib,"Thyroid: locally recurrent or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer (DTC).  In combination with everolimus, for the treatment of advanced renal cell carcinoma following one prior anti-angiogenic therapy.","PK data taken from Clinical Pharmacology and Biopharmaceutics Review of NDA 206947, Study E7080-A001-005",,
97,Letrozole  ,Femara ,Steroid metabolism: Aromatase Inhibitor,285,2.5,mg,PO,-,qd,0.406,4.06E-07,0.00012,116,0.12,406 nmol/L,1.5,-,7872 nmol•hr/L,2246,-,1.9 L/kg,60%,,1997,"Eur J Cancer 2008, 44(1): 84",http://www.ncbi.nlm.nih.gov/pubmed/18039566,http://www.sciencedirect.com/science/article/pii/S0959804907007939,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Letrozole,Breast ,,,
98,Leuprolide Acetate,Eligard,GnRH agonist,1209,30,mg,SC,-,q. 4 months,0.124,1.24E-07,0.00015,150,0.15,150 ng/ml,3.3,-,-,-,8.34 L/h,27 L,43-49%,,2002,Drug Product Label; see also J Pharm Sci 1986; 75(2): 158–160,http://www.ncbi.nlm.nih.gov/pubmed/3083092,http://onlinelibrary.wiley.com/doi/10.1002/jps.2600750211/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Leuprolide,Prostate ,Subcutaneous delivery provides sustained release.,,
102,Medroxyprogesterone acetate,Provera,Progesterone receptor agonist,387,20,mg,PO,-,-,0.0026,2.61E-09,0.00000101,1,0.001,1.01 ng/ml,2.7,12.1,6.95 ng•hr/ml,6.95,64110 ml/min,78024 L,90%,,1959,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/011839s079s080lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Provera,not approved for cancer indications;  secondary amenorrhea and abnormal uterine bleeding;  endometrial hyperplasia,not approved for cancer indications,,
103,Megestrol acetate,Megace,Progesterone receptor agonist,385,800,mg,PO,suspension,q.d.,1.96,1.96E-06,0.000753,753,0.75,753 ng/ml,5,-,10476 ng•hr/ml,10476,-,-,-,,1971,"Drug Product Label; see also Cancer Chemother Pharmacol 1995, 36(4): 356",http://www.ncbi.nlm.nih.gov/pubmed/7628056,http://link.springer.com/article/10.1007/BF00689055,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Megace,"Breast; Uterine Endometrial carcinoma,  Cachexia associated with AIDS",Given as a suspension. Data are following 21 day dosing at high dose,,
104,Melphalan,Alkeran,Alkylating/DNA damage,305,20,mg/m2,IV,15-20 min,-,9.17,9.17E-06,0.0028,2800,2.8,2.8 ug/mL,-,1.25,-,-,7-9 ml/min/kg,0.5 L/kg,60-90%,,1964,"Drug Product Label; for high dose see: Anticancer Res 1997, 17(1B): 605",http://www.ncbi.nlm.nih.gov/pubmed/9066587,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020207s016lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Melphalan,Multiple Myeloma; epithelial carcinoma of the ovary (oral tablet),IV Melphalan approved 1992,,
105,Mercaptopurine,Purinethol,Nucleoside/Antimetab: purine antagonist,152,75,mg/m2,PO,-,qd,0.59,5.90E-07,0.00008968,90,0.09,0.59 umol/L,-,1.3,1.8 umol•h/L,274,-,-,19%,,1953,"Blood 1998, 92(10): 3569",http://www.ncbi.nlm.nih.gov/pubmed/9808549,http://www.bloodjournal.org/content/92/10/3569.long?sso-checked=true,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Mercaptopurine,"Leukemia: acute lymphatic leukemia (lymphocytic, lymphoblastic) ",high inter-patient variability,,
106,Mercaptopurine,Purixan,Nucleoside/Antimetab: purine antagonist,152,50,mg,PO,suspension,q.d.,0.625,6.25E-07,0.000095,95,0.095,95 ng/ml,-,2,136 ng•hr/ml,136,-,-,19%,,1953,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205919s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Purixan,Leukemia: acute lymphoblastic leukemia ,suspension formulation approved 04/28/2014 ,,
107,Metformin,Glucophage,not defined,129,1500,mg,PO,-,qd,24,2.40E-05,0.0031,3100,3.1,3.10 ug/ml,1.5,5.98,18.4 ug•hr/ml,18400,1552 ml/min,-,negligible,,1959,"Br J Clin Pharmac 1981, 12: 235-246",http://www.ncbi.nlm.nih.gov/pubmed/7306436,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1401849/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Glucophage,not approved for cancer indications;  glycemic control in adults and children with type 2 diabetes mellitus,"not approved for cancer indications: Drug Product Label reports Cmax after 850 mg PO dose is 1.60 ug/ml in healthy adults, representing the average of means from five studies. ",,
108,Methotrexate  ,Abitrexate,Nucleoside/Antimetab: DHFR inhibitor,454,30,mg,PO,-,-,1.31,1.31E-06,0.000594,594,0.59,594 ug/L,1.2,2.9,2466 ug•hr/L,2466,8.4 L/h,-,50%,,1954,"J Rheumatol 2004, 31(4): 645",http://www.ncbi.nlm.nih.gov/pubmed/15088287,http://www.jrheum.org/content/31/4/645.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Methotrexate,"Choriocarcinoma (gestational),  chorioadenoma destruens and hydatidiform mole;  acute lymphocytic leukemia, meningeal leukemia,  . breast cancer, epidermoid cancers of the head and neck, advanced mycosis fungoides (cutaneous T cell lymphoma), and lung cancer, particularly squamous cell and small cell types,  non-Hodgkin's lymphomas,  nonmetastatic osteosarcoma","PK is highly variable, esp. at high doses (>40 mg); Cmax as high as 1000 uM has been reported (Pediatr Pol. 1995 Nov;70(11):929-37)",,
109,Methoxsalen,Uvadex; 8-MOP,Alkylating/DNA damage,216,40,mg,PO,-,see notes,0.624,6.24E-07,0.000135,135,0.14,178 ng/ml,2,2,440 ng•hr/ml,440,-,-,90%,,1954,"J Clin Pharmacol 2006, 46(7): 768",http://www.ncbi.nlm.nih.gov/pubmed/16809802,http://onlinelibrary.wiley.com/doi/10.1177/0091270006288732/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Methoxsalen,"Lymphoma: Cutaneous T-cell lymphoma, used in conjunction with extra-corporeal UV irradiation.","Approved 1999 for Cutaneous T-cell lymphoma.  Used in conjunction with extracorporeal UV irradiation with the UVAR instrument:  the white cell layer (buffy coat) is collected by centrifugation; red cells are returned to the patient and the UVADEX Sterile Solution is then injected into the instrument and mixed with the buffy coat. The instrument then irradiates this drug-cell mixture with ultraviolet light (UVA light, 320-400 nm) and returns the treated cells to the patient.",,
110,Mitomycin C,Mitozytrex,Alkylating/DNA damage,334,15,mg/m2,IV,30 min,-,2.18,2.18E-06,0.000729,729,0.73,729 ng/ml,-,0.81,691 ng•hr/ml,691,402 ml/min/m2,24.5 L/m2,24%,,1974,"Cancer 2001, 91(4): 815 ",http://www.ncbi.nlm.nih.gov/pubmed/11241251,http://onlinelibrary.wiley.com/doi/10.1002/1097-0142(20010215)91:4<815::AID-CNCR1069>3.0.CO;2-J/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Mitomycin,Pancreatic: adenocarcinoma of the stomach or pancreas,"launched 1956;   protein binding found in: International Journal of Pharmacology, 2: 293-297 (2006)",,
111,Mitotane,Lysodren,Adrenal cytotoxic agent,320,6000,mg/day,PO,-,3-4 divided doses,50.9,5.09E-05,0.0163,16300,16,16.3 mg/L,-,432-3816,-,-,-,-,6%,,1970,"J Clin Endocrinol Metab 2011, 96:1844-1851 ",http://www.ncbi.nlm.nih.gov/pubmed/21470991,http://press.endocrine.org/doi/10.1210/jc.2010-2676?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub=pubmed&,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Mitotane,Adrenal cortical carcinoma,Median Cmax of responders is reported.  Plasma exposure above 14 mg/L correlates with clinical response.,,
112,Mitoxantrone ,Novantrone,Topo II /DNA binding,444,12,mg/m2,IV,30 min,-,0.715,7.15E-07,0.000318,318,0.32,318 ng/ml,-,17,298 ng•hr/ml,298,40.2 L/hr/m2,>1000 L/m2,78%,,1987,Cancer Chemother Pharmacol (2011) 67:431–438,http://www.ncbi.nlm.nih.gov/pubmed/20445979,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3028086/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Mitoxantrone,"Prostate;   acute nonlymphocytic leukemia (ANLL) in adults,  including myelogenous, promyelocytic, monocytic, and erythroid acute leukemias.",alternate NSC# 301739,,
113,nab- Paclitaxel,Abraxane,Tubulin: microtubule stabilizing,854,260,mg/m2,IV,30 min,-,21.9,2.19E-05,0.01874,18740,19,18741 ng/ml,-,27,20324 ng•hr/ml,20324,15 L/hr/m2,632 L/m2,89-98%,,2005,"Drug Product Label; AUC from Clin Cancer Res 2008, 14(13): 4200",http://www.ncbi.nlm.nih.gov/pubmed/18594000,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2661025/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Abraxane,"Breast: metastatic;  Non-Small Cell Lung Cancer,  Adenocarcinoma of the Pancreas",nanoparticle albumin-bound Paclitaxel.   09/09/2013:  Approved in combination with gemcitabine for the first-line treatment of patients with metastatic adenocarcinoma of the pancreas.,,
114,Nelarabine  ,Arranon ,Nucleoside/Antimetab: purine antagonist,297,1500,mg/m2,IV,2 h,-,16.8,1.68E-05,0.005,5000,5,5.0 ug/ml,-,0.3,4.4 ug•hr/ml,4400,197 L/h/m2,197 L/m2,<25%,,2005,"Drug Product Label; see also J Clin Oncol 1998, 16(11): 3607",http://www.ncbi.nlm.nih.gov/pubmed/9817282,http://jco.ascopubs.org/content/16/11/3607.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Nelarabine,Leukemia: T-cell acute lymphoblastic leukemia and T-cell lymphoblastic lymphoma,prodrug of ara-G,,
116,Nilotinib  ,Tasigna ,Kinase inhibitor (Tyrosine): BCR-Abl,530,400,mg,PO,-,BID,0.84,8.40E-07,0.000445,445,0.45,445 ng/ml,4,13,11.9 mg•hr/L,11900,50.5 L/h,-,98%,,2007,"J Clin Pharmacol 2010, 50(2): 188;  see also J Clin Pharmacol 2011, 51(1): 75",http://www.ncbi.nlm.nih.gov/pubmed/19948946,http://onlinelibrary.wiley.com/doi/10.1177/0091270009336137/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Nilotinib,Leukemia: chronic myeloid leukemia (Ph+ CML) ( Philadelphia chromosome positive ),,,
117,Nilutamide,Nilandron,Androgen Receptor Antagonist,317,150,mg,PO,-,qd,2.84,2.84E-06,0.0009,900,0.9,0.9 ug/ml,2.8,56,39 ug•hr/ml,39000,-,-,80-84%,4.4 mg/L,1996,"Urology 1991, 37(2, Suppl.): 13",http://www.ncbi.nlm.nih.gov/pubmed/1992598,http://www.sciencedirect.com/science/article/pii/009042959180096P,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Nilutamide,"Prostate, Metastatic",steady state concentration at 150 mg daily is approx 5X higher than single dose,,
118,Octreotide,Sandostatin,Somatostatin Agonist ,1033,0.1,mg,SC,-,-,0.0038,3.84E-09,0.00000397,4,0.004,3.97 ng/ml,0.64,2.25,12.4 ng•hr/ml,12.4,7-10 L/h,13.6 L,65%,,1988,"J Clin Endocrinol Metab, 2012, 97(7):2362–2369; and Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/22539587,http://press.endocrine.org/doi/10.1210/jc.2012-1179?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub=pubmed,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Octreotide,"Carcinoid Tumors,  Vasoactive Intestinal Peptide Tumors (VIPomas)",recommended dose is 50 ug SC twice or three times per day,,
119,Olaparib,Lynparza,PARP inhibitor,434,400,mg,PO,-,BID,13.1,1.31E-05,0.0057,5700,5.7,5.7 ug/ml,1.3,11.9,58 ug•hr/ml,58000,8.6 L/h,167 L,82%,,2014,Drug Product Label and NDA 206162 Clinical Pharmacology and Biopharmaceutics Review ,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206162Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Olaparib,Ovarian:  germline BRCA mutated,Cmax aftermulti-dose  (Day 14) was 7.9 ug/ml. ,,
120,Omacetaxine,Synribo,Protein Translation Inhibitor: binds ribosomal A-site,546,1.25,mg/m2,SC,-,BID X 14 d,0.046,4.60E-08,0.0000251,25,0.025,25.1 ng/ml,0.55,7,136.2 ng•hr/ml,136,13.5 L/h/m2,127 L,50%,,2012,Cancer Chemother Pharmacol (2013) 71:35–41; and Drug Product Label,http://www.ncbi.nlm.nih.gov/pubmed/23053254,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3535355/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Omacetaxine,Leukemia: chronic myeloid leukemia (CML),Cmax given for single dose; Cmax at steady state is 36.2 ng/ml. Mechanism:  protein translation inhibitor. It inhibits protein translation by preventing the initial elongation step of protein synthesis. It interacts with the ribosomal A-site and prevents the correct positioning of amino acid side chains of incoming aminoacyl-tRNAs. Omacetaxine acts only on the initial step of protein translation and does not inhibit protein synthesis from mRNAs that have already commenced translation.,,
121,Osimertinib,Tagrisso,"Kinase inhibitor (Tyrosine): EGFR, HER2,HER3, HER4, ACK1, BLK",500,80,mg,PO,-,qd,0.126,1.26E-07,0.000063,63,0.063,126.1 nM,6,64,6269 nmole•hr/L,3132,27.3 L/h,2495 L,99%,,2015,FDA NDA 208065:  Clinical Pharmacology and Biopharmaceutic Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208065Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Osimertinib,Lung (NSCLC): metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer,,,
122,Oxaliplatin  ,Eloxatin ,Alkylating/DNA damage,397,110,mg/m2,IV,2 h,-,4.96,4.96E-06,0.00197,1970,2,1.97 ug/ml,-,1.86,4.99 ug•hr/ml,4990,-,-,>90%,,2002,"Ann Oncol 2003, 14(12): 1776 ",http://www.ncbi.nlm.nih.gov/pubmed/14630684,https://annonc.oxfordjournals.org/content/14/12/1776.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Oxaliplatin,Colon:  colorectal cancer,"Oxaliplatin shows irreversible plasma protein binding of  90%, so values are reported as ultrafilterable platinum.  Drug Product Label recommends dose of 85 mg/m2, reporting Cmax= 0.814 ug/ml.",,
123,Paclitaxel  ,Taxol,Tubulin: microtubule stabilizing,854,175,mg/m2,IV,3 h,-,4.27,4.27E-06,0.00365,3650,3.7,3650 ng/ml,-,20.2,15007 ng•hr/ml,15007,12.2 L/hr/m2,227-688 L/m2,89-98%,,1992,"Drug Product Label; for comparison with nab-Paclitaxel formulation, see Clin Cancer Res 2008, 14(13): 4200",http://www.ncbi.nlm.nih.gov/pubmed/18594000,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2661025/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Paclitaxel,"Ovarian: breast cancer,  non-small cell lung cancer,  AIDS-related Kaposi’s sarcoma.",,,
124,Palbociclib,Ibrance,Kinase inhibitor (Ser/Thr): CDK4/6,448,125,mg,PO,-,q.d.,0.101,1.01E-07,0.00004524,45,0.045,45.24 ng/ml,6,22.2,1427 ng•hr/ml,1427,87.6 L/hr,2751 L,85%,,2015,"FDA NDA 207103 Clinical Pharmacology and Biopharmaceutics Review, Table 32",n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207103Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Palbociclib,"Breast: combination with letrozole in postmenopausal women with ER-positive, HER2-negative advanced breast cancer",,,
125,Pamidronate,Aredia,Osteoclast inhibitor,235,90,mg,IV,4 h,-,11.1,1.11E-05,0.00261,2610,2.6,2.61 ug/ml,4,-,17.12 ug•hr/ml,17120,103 ml/min,-,-,,1991,FDA NDA 20036 Pharm Tox review; data from Clinical Report 09 ,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/20-036_pharma_toxic_review.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pamidronate,"Hypercalcemia of malignancy; multiple myeloma;: treatment of moderate or severe hypercalcemia associated with malignancy, with or without bone metastases.",,,
126,Panobinostat,Farydak,HDAC inhibitor,349,20,mg,PO,-,TIW,0.082,8.24E-08,0.0000288,29,0.029,28.8 ng/ml,1,15.5,280 ng•hr/ml,280,86.4 L/h,1789 L,90%,,2015,"FDA NDA 205353 Clinical Pharmacology and Biopharmaceutics Review: Table 6, Study B2101: Day 15 (following dose 7) ",n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/205353Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Panobinostat,Multiple Myeloma,"PK data from Day 15, following dose #7",,
127,Pazopanib   ,Votrient ,Kinase inhibitor (Tyrosine):  VEGF,438,800,mg,PO,-,-,133,1.33E-04,0.0581,58100,58,58.1 ug/ml,4-Feb,30.9,1037 ug•hr/ml,1037000,-,-,>99%,,2009,"Drug Product Label; see also Clin Pharmacol Ther. 2010, 88(6):818-23",http://www.ncbi.nlm.nih.gov/pubmed/20980999,http://onlinelibrary.wiley.com/doi/10.1038/clpt.2010.199/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pazopanib,"Kidney: renal cell carcinoma (RCC),  soft tissue sarcoma (STS)","significant food effects on bioavailability; food (high- or low-fat) increased Cmax, AUC and variability.",,
128,Pemetrexed,Alimta,Nucleoside/Antimetab: DHFR inhibitor,427,500,mg/m2,IV,10 min,-,306,3.06E-04,0.131,131000,131,131 ug/ml,-,4.4,188 ug•hr/ml,188000,93.2 ml/min,20.2 L,81%,,2004,"J Clin Oncol 2006, 24(4): 552",http://www.ncbi.nlm.nih.gov/pubmed/16391300,http://jco.ascopubs.org/content/24/4/552.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pemetrexed,"Lung (NSCLC): Nonsquamous Non-Small Cell Lung Cancer,  Mesothelioma",,,
129,Pentostatin,Nipent,Nucleoside/Antimetab: Adenosine deaminase inhibitor,268,4,mg/m2,IV,15 min,-,1.82,1.82E-06,0.000489,489,0.49,489 ng/ml,-,5.3,1232 ng•hr/ml,1232,114 ml/min,20 L/m2,4%,,1991,"Cancer Chemother Pharmacol 2002, 50(2): 121-126.  ",http://www.ncbi.nlm.nih.gov/pubmed/12172976,http://link.springer.com/article/10.1007%2Fs00280-002-0468-9,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pentostatin,Leukemia: Hairy Cell Leukemia,"Calculated mean Cmax from Table 3 (N=6, normal renal function);  measured by Enzyme assay; alternate LC/UV method (abstract) reports 60 uM with 4 mg/m2 (Proc Am Soc Clin Oncol (ASCO) 2002, 21(Part 2): Abst 479)",,
130,Plerixafor,Mozobil,Chemokine (CXCR4) antagonist,503,0.24,mg/kg,SC,-,-,1.84,1.84E-06,0.000926,926,0.93,926 ng/ml,0.5,5.1,4741 ng•hr/ml,4741,4767 ml/h,33.7 L,58%,,2008,"Biol Blood Marrow Transplant 2009, 15:39-46",http://www.ncbi.nlm.nih.gov/pubmed/19135941,http://www.sciencedirect.com/science/article/pii/S1083879108004527,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Plerixafor,Lymphoma: non-Hodgkin’s lymphoma (NHL) and multiple myeloma (MM): to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients ,,,
131,Pomalidomide ,Pomalyst,Immunomodulator: TNF-alpha Production Inhibitor,273,4,mg,PO,-,qd,0.274,2.74E-07,0.000075,75,0.075,75 ng/ml,3-Feb,9.5,400 ng•hr/ml,400,7-10 L/h,62-138 L,12-44%,,2013,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/204026s005s006s008lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pomalidomide,Multiple Myeloma,Black box warning for pregnancy.,,
132,Ponatinib,Iclusig,"Kinase inhibitor (Tyrosine): BCR-Abl; VEGFR, FGFR, Flt3, Tie2",533,45,mg,PO,-,qd,0.137,1.37E-07,0.000073,73,0.073,73 ng/ml,-,24,1253 ng•hr/ml,1253,-,1223 L,>99%,,2012,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/203469s009lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ponatinib,"Leukemia: chronic myeloid leukemia (CML),  acute lymphoblastic leukemia (Ph+ALL) T315I-positive Philadelphia chromosome positive",The Food and Drug Administration temporarily suspended sales of the drug in the U.S. on 31 October 2013 because of “the risk of life-threatening blood clots and severe narrowing of blood vessels”.,,
